Total_Population,MarginError_Total,"Est_Total_Under_$25,000","MoE_Tot_Under_$25,000","tot_under_$25,000_w_coverage",B27015 003M,tot_under$25k_w_privateHI,B27015 004M,tot_under$25k_publicHI,B27015 005M,tot_under$25k_no_coverage,B27015 006M,estTot_$25000_to_$49999,B27015 007M,tot_$25k_to_$49999_w_coverage,B27015 008M,tot_$25k_to_$49999_privateHI,B27015 009M,tot_$25k_to_$49999_publicHI,B27015 010M,tot_$25k_to_$49999_no_coverage,B27015 011M,estTot_$50000_to_$74999,B27015 012M,tot_$50k_$74999_w_coverage,B27015 013M,tot_$50k_$74999_privateHI,B27015 014M,tot_$50k_$74999_publicHI,B27015 015M,tot_$50k_$74999_no_coverage,B27015 016M,estTot_$75000_to_$99999,B27015 017M,tot_$75k_to_$99999_w_coverage,B27015 018M,tot_$75k_$99999_privateHI,B27015 019M,tot_$75k_$99999_publicHI,B27015 020M,tot_$75k_$99999_no_coverage,B27015 021M,estTot_$100k+,B27015 022M,tot_$100k+_w_coverage,B27015 023M,tot_$100k+_privateHI,B27015 024M,tot_$100k+_publicHI,B27015 025M,tot_$100k+_no_coverage,B27015 026M,ALL_no_coverage,Percent_Without_Coverage,%no_coverage_100k+,Geo Id,Geometry,Name,Number of Records
11320134,594,1837326,14129,1657973,12806,534184,5432,1376677,11932,179353,4262,2373142,16475,2145990,14218,1309837,10314,1274837,10756,227152,5408,2123113,15752,1975353,15031,1587954,13515,706741,9816,147760,4600,1642173,13884,1561995,14284,1383965,14294,356005,5093,80178,2592,3344380,19036,3242443,19976,3043058,20783,455128,5112,101937,3866,736380,0.065050467,0.030480089,0400000US39,MULTIPOLYGON,Ohio,1
27227580,2154,4184231,27924,3071385,20974,1145471,10687,2276806,17470,1112846,13625,5691800,31236,4262094,24101,2505954,17216,2311372,17084,1429706,16666,4890988,31289,3920942,24594,3064179,21656,1322654,12628,970046,16398,3697323,28666,3161086,26718,2731611,24944,749078,10502,536237,10514,8763238,41518,8082872,44460,7530622,44121,1179012,12803,680366,13479,4729201,0.173691566,0.077638654,0400000US48,MULTIPOLYGON,Texas,1
5389612,1237,594462,7526,526905,6910,207237,3754,398645,6814,67557,2289,948563,10246,820707,8557,475338,5902,478379,6649,127856,4072,927430,11512,830055,10299,625357,8227,320030,6205,97375,3709,806169,11834,747358,11295,629652,9866,202777,4945,58811,2630,2112988,13539,2025002,13009,1859376,13283,328886,4970,87986,3752,439585,0.08156153,0.041640558,0400000US08,MULTIPOLYGON,Colorado,1
4801833,1014,878374,11263,721355,9617,275198,4654,557370,8068,157019,4401,1121359,11942,955607,10697,602914,7405,530805,8211,165752,4660,933079,10991,833364,9986,664233,8685,312296,6264,99715,4017,666945,10207,618580,9507,548583,9165,162213,3906,48365,2851,1202076,12864,1144392,12929,1066265,12545,218117,4028,57684,3079,528535,0.110069426,0.047986983,0400000US45,MULTIPOLYGON,South Carolina,1
3797091,808,658133,6373,513606,5742,208665,3457,387792,4769,144527,2472,897747,7606,730774,6898,465221,5325,402306,4223,166973,3208,750395,8045,642724,7530,516867,6651,227370,3638,107671,2665,537928,6833,481641,6178,426141,5665,117896,2541,56287,2015,952888,8842,889275,8725,824719,8413,159184,2926,63613,2239,539071,0.141969471,0.066758108,0400000US40,MULTIPOLYGON,Oklahoma,1
6479743,980,1182216,12167,986942,10183,359988,5215,777461,8670,195274,4712,1500544,12382,1296667,9888,812289,8334,716400,7942,203877,5092,1251870,12527,1133734,12053,909660,10609,395392,6457,118136,3669,894917,12390,833030,11829,734827,11449,204861,4463,61887,3012,1650196,15437,1576618,15848,1463253,15459,270703,4778,73578,3477,652752,0.100737329,0.044587431,0400000US47,MULTIPOLYGON,Tennessee,1
565415,367,69875,2758,57233,2464,31600,1740,37557,1726,12642,1055,107561,3300,90258,3035,64738,2673,44548,1767,17303,1278,106094,3162,91766,2865,76526,2578,29184,1451,14328,1399,92478,3997,83594,3475,76734,3427,17026,1155,8884,1267,189407,3962,178604,3730,169088,3609,25608,1458,10803,1252,63960,0.113120451,0.057035907,0400000US56,MULTIPOLYGON,Wyoming,1
1350556,892,121709,3759,112418,3637,47193,1980,85565,3126,9291,796,173882,4403,162728,4320,106969,2786,88545,3112,11154,913,198077,4876,189366,4589,148567,3666,73656,2788,8711,876,188768,5007,182099,4971,155933,4327,54836,2267,6669,793,668120,6717,650029,6376,582330,5503,156557,3797,18091,1176,53916,0.039921336,0.027077471,0400000US15,MULTIPOLYGON,Hawaii,1
721963,426,88074,2375,76918,2094,44145,1569,51373,1826,11156,1012,125861,3469,112071,3192,86476,2499,51594,2189,13790,1141,130815,3561,119022,3378,104621,3033,33773,1765,11793,941,116483,3599,109763,3491,103197,3282,19487,1133,6720,882,260730,3739,250663,3688,241724,3710,29136,1150,10067,1151,53526,0.074139533,0.038610823,0400000US38,MULTIPOLYGON,North Dakota,1
4300929,632,860391,9761,790078,8659,233059,3932,669078,7729,70313,3076,989221,10199,905576,9470,532578,6113,549732,8048,83645,3163,803970,9843,749260,9616,590499,8482,278726,5935,54710,2644,582817,9607,556932,8981,485318,8630,140992,3718,25885,1950,1064530,12311,1037646,12162,959128,11581,175737,3695,26884,1750,261437,0.06078617,0.025254338,0400000US21,MULTIPOLYGON,Kentucky,1
1295214,282,191754,3535,168258,3253,61661,1672,139828,3243,23496,1203,269749,4948,238561,4394,147643,3067,146628,3311,31188,1409,255775,4672,230361,4177,187191,3708,85079,2265,25414,1657,202215,5027,187839,4841,167652,4492,46525,1914,14376,1350,375721,5187,362425,5377,339114,5254,60936,1787,13296,1006,107770,0.083206327,0.035387961,0400000US23,MULTIPOLYGON,Maine,1
